Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
..,com.Group11.soulfulplates.controllers,WishlistControllerTest,2,0,6,0,57,6,0,0,0.3333333333333333,0,4,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\test\java\com\Group11\soulfulplates\controllers\WishlistControllerTest.java,22
..,com.Group11.soulfulplates.exception,GlobalExceptionHandler,0,0,4,4,30,4,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\exception\GlobalExceptionHandler.java,15
..,com.Group11.soulfulplates.exception,GlobalExceptionHandlerTest,1,0,5,0,44,5,0,0,0.4,0,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\test\java\com\Group11\soulfulplates\exception\GlobalExceptionHandlerTest.java,18
..,com.Group11.soulfulplates,Group11SoulfulPlates,1,0,4,3,20,5,0,0,0.5,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\Group11SoulfulPlates.java,9
..,com.Group11.soulfulplates,Group11SoulfulPlates,0,0,1,1,4,1,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\test\java\com\Group11\soulfulplates\Group11SoulfulPlates.java,6
..,com.Group11.soulfulplates.models,Address,10,0,0,0,12,0,0,0,-1.0,5,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Address.java,7
..,com.Group11.soulfulplates.models,CartItem,6,0,13,13,47,13,0,0,0.15384615384615385,3,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\CartItem.java,10
..,com.Group11.soulfulplates.models,Category,4,0,10,10,36,10,0,0,0.4,7,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Category.java,5
..,com.Group11.soulfulplates.models,Delivery,1,0,0,0,3,0,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Delivery.java,6
..,com.Group11.soulfulplates.models,DeliveryPerson,5,0,0,0,7,0,0,0,-1.0,0,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\DeliveryPerson.java,5
..,com.Group11.soulfulplates.models,EDelivery,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\EDelivery.java,3
..,com.Group11.soulfulplates.models,EDeliveryPerson,0,0,0,0,1,0,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\EDeliveryPerson.java,3
..,com.Group11.soulfulplates.models,EOrder,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\EOrder.java,3
..,com.Group11.soulfulplates.models,EPayment,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\EPayment.java,3
..,com.Group11.soulfulplates.models,ERefund,0,0,0,0,1,0,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\ERefund.java,3
..,com.Group11.soulfulplates.models,ERole,0,0,0,0,1,0,0,0,-1.0,4,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\ERole.java,3
..,com.Group11.soulfulplates.models,ESubscriptionOption,0,0,0,0,1,0,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\ESubscriptionOption.java,3
..,com.Group11.soulfulplates.models,ESubscriptionOrder,0,0,0,0,1,0,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\ESubscriptionOrder.java,3
..,com.Group11.soulfulplates.models,EUserFoodPreference,0,0,0,0,1,0,0,0,-1.0,1,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\EUserFoodPreference.java,3
..,com.Group11.soulfulplates.models,MenuItem,13,0,0,0,15,0,0,0,-1.0,9,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\MenuItem.java,6
..,com.Group11.soulfulplates.models,Order,10,0,19,19,69,19,0,0,0.10526315789473684,9,3,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Order.java,13
..,com.Group11.soulfulplates.models,Payment,8,0,17,17,61,17,0,0,0.0,2,3,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Payment.java,16
..,com.Group11.soulfulplates.models,Rating,7,0,14,14,50,14,0,0,0.14285714285714285,4,2,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Rating.java,9
..,com.Group11.soulfulplates.models,Refund,6,0,0,0,8,0,0,0,-1.0,0,2,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Refund.java,7
..,com.Group11.soulfulplates.models,Review,6,0,0,0,8,0,0,0,-1.0,0,2,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Review.java,7
..,com.Group11.soulfulplates.models,Role,2,0,2,2,9,2,0,0,1.0,1,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Role.java,6
..,com.Group11.soulfulplates.models,Store,9,0,13,13,50,13,0,0,0.15384615384615385,12,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\Store.java,9
..,com.Group11.soulfulplates.models,SubCategory,4,0,10,10,37,10,0,0,0.3,6,1,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\SubCategory.java,4
..,com.Group11.soulfulplates.models,SubscriptionOption,6,0,0,0,8,0,0,0,-1.0,1,2,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\SubscriptionOption.java,5
..,com.Group11.soulfulplates.models,SubscriptionOrder,6,0,0,0,8,0,0,0,-1.0,0,3,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\SubscriptionOrder.java,6
..,com.Group11.soulfulplates.models,SubscriptionOrderStatus,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\Divyansh\Desktop\Family\Chinmaya\Dalhousie Courses\CSCI 5308\project\Group11\Backend-Spring-Boot\designite\..\src\main\java\com\Group11\soulfulplates\models\SubscriptionOrderStatus.java,3
