Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
..,com.Group11.soulfulplates.controllers,RatingController,getAverageRating,9,1,1,33,0,com.Group11.soulfulplates.services.RatingService,com.Group11.soulfulplates.services.RatingService
..,com.Group11.soulfulplates.controllers,StoreController,createStore,8,2,1,42,0,com.Group11.soulfulplates.services.StoreService,com.Group11.soulfulplates.services.StoreService; com.Group11.soulfulplates.models.Store
..,com.Group11.soulfulplates.controllers,StoreController,getStoreById,3,1,1,52,0,com.Group11.soulfulplates.services.StoreService,com.Group11.soulfulplates.services.StoreService
..,com.Group11.soulfulplates.controllers,StoreController,getAllStores,4,1,0,60,0,com.Group11.soulfulplates.services.StoreService,com.Group11.soulfulplates.services.StoreService
..,com.Group11.soulfulplates.controllers,StoreController,deleteStore,8,2,1,79,0,com.Group11.soulfulplates.services.StoreService,com.Group11.soulfulplates.services.StoreService
..,com.Group11.soulfulplates.controllers,StoreController,updateStore,12,1,2,91,0,com.Group11.soulfulplates.services.StoreService,com.Group11.soulfulplates.services.StoreService
..,com.Group11.soulfulplates.controllers,StoreController,updateUserImage,25,3,2,108,0,,
..,com.Group11.soulfulplates.controllers,TransactionController,updateTransactionStatus,9,1,1,22,0,com.Group11.soulfulplates.services.TransactionService,com.Group11.soulfulplates.services.TransactionService; com.Group11.soulfulplates.payload.request.UpdateTransactionStatusRequest
..,com.Group11.soulfulplates.controllers,UserController,toggleNotificationFlag,6,1,1,43,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserController,createAddressForUser,6,1,2,57,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserController,getAllAddressesForUser,13,2,1,69,0,com.Group11.soulfulplates.repository.AddressRepository,com.Group11.soulfulplates.repository.AddressRepository; com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserController,updateAddressForUser,14,1,3,98,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserController,deleteAddressForUser,6,1,2,121,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserController,updateUserImage,25,3,2,137,0,com.Group11.soulfulplates.repository.UserRepository,com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserController,getUserAndNearestStore,29,5,2,179,0,com.Group11.soulfulplates.controllers.UserController,com.Group11.soulfulplates.controllers.UserController; com.Group11.soulfulplates.services.AddressService
..,com.Group11.soulfulplates.controllers,UserController,calculateDistance,8,1,4,231,0,,
..,com.Group11.soulfulplates.controllers,WishlistController,getAllWishlists,3,1,0,23,0,com.Group11.soulfulplates.services.impl.WishlistServiceImpl,com.Group11.soulfulplates.services.impl.WishlistServiceImpl
..,com.Group11.soulfulplates.controllers,WishlistController,getWishlistById,4,1,1,29,0,com.Group11.soulfulplates.services.impl.WishlistServiceImpl,com.Group11.soulfulplates.services.impl.WishlistServiceImpl
..,com.Group11.soulfulplates.controllers,WishlistController,createWishlist,10,2,1,37,0,com.Group11.soulfulplates.services.impl.WishlistServiceImpl,com.Group11.soulfulplates.services.impl.WishlistServiceImpl
..,com.Group11.soulfulplates.controllers,WishlistController,deleteWishlist,9,2,1,61,0,com.Group11.soulfulplates.services.impl.WishlistServiceImpl,com.Group11.soulfulplates.services.impl.WishlistServiceImpl
..,com.Group11.soulfulplates.controllers,AuthControllerTest,setUp,3,1,0,65,0,,
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testRegisterUserUsernameTaken,9,1,0,71,1,com.Group11.soulfulplates.controllers.AuthController,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.controllers.AuthController
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testRegisterUserEmailTaken,5,1,0,86,1,com.Group11.soulfulplates.controllers.AuthController,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.controllers.AuthController
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testRegisterSuccessful,7,1,0,96,1,com.Group11.soulfulplates.controllers.AuthController,com.Group11.soulfulplates.repository.RoleRepository; com.Group11.soulfulplates.controllers.AuthController
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testRegisterUser_Success,13,1,0,110,1,com.Group11.soulfulplates.controllers.AuthController,com.Group11.soulfulplates.repository.UserRepository; com.Group11.soulfulplates.repository.RoleRepository; com.Group11.soulfulplates.controllers.AuthController
..,com.Group11.soulfulplates.controllers,AuthControllerTest,testAuthenticateUser,3,1,0,139,1,,
..,com.Group11.soulfulplates.controllers,UserControllerTest,setUp,3,1,0,37,0,,
..,com.Group11.soulfulplates.controllers,UserControllerTest,testToggleNotificationFlag_UserExists_NotificationFlagToggled,18,1,0,42,1,com.Group11.soulfulplates.controllers.UserController,com.Group11.soulfulplates.controllers.UserController; com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserControllerTest,testCreateAddressForUser_UserExists_AddressCreatedSuccessfully,17,1,0,67,1,com.Group11.soulfulplates.controllers.UserController,com.Group11.soulfulplates.controllers.UserController; com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserControllerTest,testGetAllAddressesForUser_UserExists_AddressesFetchedSuccessfully,36,1,0,93,1,com.Group11.soulfulplates.controllers.UserController,com.Group11.soulfulplates.controllers.UserController; com.Group11.soulfulplates.repository.AddressRepository; com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.controllers,UserControllerTest,testUpdateAddressForUser_UserAndAddressExist_AddressUpdatedSuccessfully,28,1,0,141,1,com.Group11.soulfulplates.controllers.UserController,com.Group11.soulfulplates.controllers.UserController; com.Group11.soulfulplates.repository.UserRepository
..,com.Group11.soulfulplates.exception,GlobalExceptionHandler,handleTypeMismatchException,7,1,1,18,0,,
..,com.Group11.soulfulplates.exception,GlobalExceptionHandler,handleIllegalArgumentException,7,1,1,28,0,,
..,com.Group11.soulfulplates.exception,GlobalExceptionHandler,handleHttpRequestMethodNotSupportedException,7,1,1,37,0,,
..,com.Group11.soulfulplates.exception,GlobalExceptionHandler,handleDataIntegrityViolationException,7,1,1,56,0,,
..,com.Group11.soulfulplates,Group11SoulfulPlates,Group11SoulfulPlates,3,1,1,14,0,,
..,com.Group11.soulfulplates,Group11SoulfulPlates,main,3,1,1,18,0,,
..,com.Group11.soulfulplates,Group11SoulfulPlates,run,7,2,1,22,0,com.Group11.soulfulplates.Group11SoulfulPlates,com.Group11.soulfulplates.Group11SoulfulPlates
..,com.Group11.soulfulplates,Group11SoulfulPlates,isTableEmpty,4,1,1,31,0,,
..,com.Group11.soulfulplates,Group11SoulfulPlates,contextLoads,2,1,0,9,1,,
..,com.Group11.soulfulplates.models,CartItem,getCartItemId,3,1,0,29,0,,
..,com.Group11.soulfulplates.models,CartItem,setCartItemId,3,1,1,33,0,,
..,com.Group11.soulfulplates.models,CartItem,getItemId,3,1,0,37,0,,
..,com.Group11.soulfulplates.models,CartItem,setItemId,3,1,1,41,0,,
..,com.Group11.soulfulplates.models,CartItem,getName,3,1,0,45,0,,
..,com.Group11.soulfulplates.models,CartItem,setName,3,1,1,49,0,,
..,com.Group11.soulfulplates.models,CartItem,getPrice,3,1,0,53,0,,
..,com.Group11.soulfulplates.models,CartItem,setPrice,3,1,1,57,0,,
..,com.Group11.soulfulplates.models,CartItem,getQuantity,3,1,0,61,0,,
..,com.Group11.soulfulplates.models,CartItem,setQuantity,3,1,1,65,0,,
..,com.Group11.soulfulplates.models,CartItem,getOrder,3,1,0,69,0,,
..,com.Group11.soulfulplates.models,CartItem,setOrder,3,1,1,73,0,,
..,com.Group11.soulfulplates.models,CartItem,toString,3,1,0,77,0,,
..,com.Group11.soulfulplates.models,Category,Category,2,1,0,24,0,,
..,com.Group11.soulfulplates.models,Category,Category,4,1,2,26,0,,
..,com.Group11.soulfulplates.models,Category,getCategoryId,3,1,0,32,0,,
..,com.Group11.soulfulplates.models,Category,setCategoryId,3,1,1,36,0,,
..,com.Group11.soulfulplates.models,Category,getCategoryName,3,1,0,40,0,,
..,com.Group11.soulfulplates.models,Category,setCategoryName,3,1,1,44,0,,
..,com.Group11.soulfulplates.models,Category,getStoreId,3,1,0,48,0,,
..,com.Group11.soulfulplates.models,Category,setStoreId,3,1,1,52,0,,
..,com.Group11.soulfulplates.models,Category,getSubcategories,3,1,0,56,0,,
..,com.Group11.soulfulplates.models,Category,setSubcategories,3,1,1,60,0,,
..,com.Group11.soulfulplates.models,Order,getOrderId,3,1,0,54,0,,
..,com.Group11.soulfulplates.models,Order,setOrderId,3,1,1,58,0,,
..,com.Group11.soulfulplates.models,Order,getUser,3,1,0,62,0,,
..,com.Group11.soulfulplates.models,Order,setUser,3,1,1,66,0,,
